codigo_act,cve_mun,fecha_alta,municipio,per_ocu,nombre_act,nom_estab,id
811121,110,2014-12,UniÛn de Tula,0 a 5 personas,HojalaterÌa y pintura de automÛviles y camiones,LAMINADO Y PINTURA,1770001
811121,110,2019-11,UniÛn de Tula,0 a 5 personas,HojalaterÌa y pintura de automÛviles y camiones,LAMINADO Y PINTURA ELTEPEHUAJE,8505746
811121,110,2019-11,UniÛn de Tula,0 a 5 personas,HojalaterÌa y pintura de automÛviles y camiones,LAMINADO Y PUNTAS DE CARRO SIN NOMBBRE,8995938
811111,110,2019-11,UniÛn de Tula,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,MULTISERVICIOS DUE—AS,8691295
811111,110,2019-11,UniÛn de Tula,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,MULTISERVICIOS LA MOSCA,8447919
811111,102,2010-07,Tonaya,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,MULTISERVICIOS Y LLANTA TONAYA,1759640
811111,102,2010-07,Tonaya,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,SERVICIO MECANICO VENI,1857013
811111,110,2019-11,UniÛn de Tula,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,TALLER AUTOMOTRIZ EL GUAGIS,8995945
811121,110,2019-11,UniÛn de Tula,0 a 5 personas,HojalaterÌa y pintura de automÛviles y camiones,TALLER DE LAMINADO TRASCHIKOFF,8773635
811121,102,2010-07,Tonaya,0 a 5 personas,HojalaterÌa y pintura de automÛviles y camiones,TALLER DE LAMINADO Y PINTURA HERNANDEZ,1857160
811121,110,2019-11,UniÛn de Tula,0 a 5 personas,HojalaterÌa y pintura de automÛviles y camiones,TALLER DE LAMINADO Y PINTURA OLIVERA,7480030
811121,110,2016-01,UniÛn de Tula,0 a 5 personas,HojalaterÌa y pintura de automÛviles y camiones,TALLER DE LAMINADO Y PINTURA SIN NOMBRE,6696451
811121,110,2014-12,UniÛn de Tula,0 a 5 personas,HojalaterÌa y pintura de automÛviles y camiones,TALLER DE LAMINADO Y PINTURA SIN NOMBRE,1770197
811121,110,2010-07,UniÛn de Tula,0 a 5 personas,HojalaterÌa y pintura de automÛviles y camiones,TALLER DE LAMINADO Y PINTURAS PINZ”N,1849849
811111,102,2010-07,Tonaya,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,TALLER EL GOMAS,1857154
811111,110,2010-07,UniÛn de Tula,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,TALLER EL MIL USOS,1849864
811111,110,2010-07,UniÛn de Tula,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,TALLER LA MARTINICA,1850167
811111,102,2010-07,Tonaya,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,TALLER MECANICO,1857173
811111,102,2010-07,Tonaya,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,TALLER MECANICO,1856998
811111,110,2010-07,UniÛn de Tula,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,TALLER MEC¡NICO EL CHINO,1850527
811111,110,2014-12,UniÛn de Tula,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,TALLER MECANICO ELECTRICO,1770150
811111,110,2019-11,UniÛn de Tula,0 a 5 personas,ReparaciÛn mec·nica en general de automÛviles y camiones,TALLER MECANICO GENESIS,7479442
